"plant_ID","binomial_acc_name","author_acc_name","is_hybrid","AnimalFood","EnvironmentalUses","Fuels","GeneSources","HumanFood","InvertebrateFood","Materials","Medicines","Poisons","SocialUses","Totals"
124,"Acacia fasciculifera","F.Muell. ex Benth.",FALSE,0,1,1,0,0,0,1,0,0,0,3
125,"Acacia harpophylla","F.Muell. ex Benth.",FALSE,1,1,1,0,0,0,1,0,1,0,5
126,"Acacia heterophylla","(Lam.) Willd.",FALSE,0,1,0,0,0,0,1,0,0,0,2
127,"Acacia holosericea","A.Cunn. ex G.Don",FALSE,1,1,1,1,1,0,1,1,0,0,7
128,"Acacia implexa","Benth.",FALSE,1,1,1,0,0,0,1,1,1,0,6
129,"Acacia iteaphylla","F.Muell. ex Benth.",FALSE,0,1,0,0,0,0,0,0,0,0,1
130,"Acacia kempeana","F.Muell.",FALSE,0,0,0,0,0,0,0,1,0,0,1
131,"Acacia koa","A.Gray",FALSE,1,0,0,0,0,0,1,1,0,0,3
132,"Acacia koaia","Hillebr.",FALSE,0,0,0,0,0,0,1,0,0,0,1
133,"Acacia latifolia","Benth.",FALSE,0,1,0,0,0,0,0,0,0,0,1
134,"Acacia leptocarpa","A.Cunn. ex Benth.",FALSE,0,1,1,0,0,0,1,1,0,0,4
135,"Acacia leptopetala","Benth.",FALSE,0,0,0,0,1,0,0,0,0,0,1
136,"Acacia ligulata","A.Cunn. ex Benth.",FALSE,1,1,1,0,1,1,0,1,0,1,7
137,"Acacia linarioides","Benth.",FALSE,0,1,0,0,0,0,0,0,0,0,1
138,"Acacia loderi","Maiden",FALSE,1,0,0,0,0,0,0,0,0,1,2
139,"Acacia longifolia","(Andrews) Willd.",FALSE,0,1,0,1,1,0,1,1,0,0,5
140,"Acacia longissima","H.L.Wendl.",FALSE,0,0,0,0,0,0,1,0,0,0,1
141,"Acacia maitlandii","F.Muell.",FALSE,0,0,0,0,1,0,0,0,0,0,1
142,"Acacia mangium","Willd.",FALSE,1,1,1,0,1,0,1,1,0,0,6
143,"Acacia mearnsii","De Wild.",FALSE,1,1,1,0,1,1,1,1,0,0,7
144,"Acacia megalantha","F.Muell.",FALSE,0,0,0,0,0,0,1,0,0,0,1
145,"Acacia melanoxylon","R.Br.",FALSE,1,1,1,0,1,0,1,1,1,0,7
146,"Acacia microbotrya","Benth.",FALSE,0,1,0,0,0,0,0,1,0,0,2
147,"Acacia midgleyi","M.W.McDonald & Maslin",FALSE,0,1,0,0,0,0,0,0,0,0,1
148,"Acacia multisiliqua","(Benth.) Maconochie",FALSE,0,0,0,0,0,0,1,1,0,0,2
149,"Acacia murrayana","F.Muell. ex Benth.",FALSE,1,1,1,0,1,1,0,0,1,0,6
150,"Acacia neriifolia","A.Cunn. ex Benth.",FALSE,1,1,0,0,0,0,0,0,0,0,2
151,"Acacia notabilis","F.Muell.",FALSE,0,1,0,0,1,0,0,0,0,0,2
152,"Acacia oncinocarpa","Benth.",FALSE,0,0,0,0,0,0,0,1,0,0,1
153,"Acacia oraria","F.Muell.",FALSE,0,0,0,0,0,0,1,0,0,0,1
154,"Acacia oswaldii","F.Muell.",FALSE,0,0,0,0,0,0,1,0,0,0,1
155,"Acacia papyrocarpa","Benth.",FALSE,1,1,0,0,0,0,1,0,0,0,3
156,"Acacia paradoxa","DC.",FALSE,0,1,0,0,0,0,0,0,0,0,1
157,"Acacia pellita","O.Schwarz",FALSE,0,0,0,0,0,0,0,1,0,0,1
158,"Acacia pendula","A.Cunn. ex G.Don",FALSE,1,1,1,0,0,0,1,0,0,0,4
159,"Acacia penninervis","DC.",FALSE,0,1,0,0,0,0,1,0,1,0,3
160,"Acacia peregrinalis","M.W.McDonald & Maslin",FALSE,0,1,1,0,0,0,1,0,0,0,3
161,"Acacia peuce","F.Muell.",FALSE,1,1,1,0,0,0,1,0,0,0,4
162,"Acacia plectocarpa","A.Cunn. ex Benth.",FALSE,0,0,1,0,0,0,0,0,0,0,1
163,"Acacia podalyriifolia","A.Cunn. ex G.Don",FALSE,0,1,0,0,0,0,0,1,0,0,2
164,"Acacia polystachya","A.Cunn. ex Benth.",FALSE,0,0,1,0,0,0,0,0,0,0,1
165,"Acacia prominens","A.Cunn. ex G.Don",FALSE,0,1,0,0,0,0,0,0,0,0,1
166,"Acacia pruinocarpa","Tindale",FALSE,1,1,0,0,0,0,0,0,0,0,2
167,"Acacia pubescens","(Vent.) R.Br.",FALSE,0,0,0,0,0,0,1,0,0,0,1
168,"Acacia pulchella","R.Br.",FALSE,0,1,0,0,0,1,0,0,0,0,2
169,"Acacia pycnantha","Benth.",FALSE,0,1,1,1,1,1,1,1,0,0,7
170,"Acacia ramulosa","W.Fitzg.",FALSE,1,0,0,0,0,0,0,0,0,0,1
171,"Acacia redolens","Maslin",FALSE,0,1,0,0,0,0,0,0,0,0,1
172,"Acacia retinodes","Schltdl.",FALSE,0,1,0,0,1,0,1,0,1,0,4
173,"Acacia salicina","Lindl.",FALSE,1,1,1,0,1,0,1,0,1,0,6
174,"Acacia saligna","(Labill.) H.L.Wendl.",FALSE,1,1,1,0,1,0,1,0,0,0,5
175,"Acacia shirleyi","Maiden",FALSE,1,0,1,0,0,0,0,1,0,0,3
176,"Acacia simplex","(Sparrm.) Pedley",FALSE,0,0,0,0,0,0,0,1,0,0,1
177,"Acacia sparsiflora","Maiden",FALSE,1,0,0,0,0,0,0,0,0,0,1
178,"Acacia spirorbis","Labill.",FALSE,0,0,0,0,0,0,1,1,0,0,2
179,"Acacia spondylophylla","F.Muell.",FALSE,0,0,0,0,0,1,0,0,0,0,1
180,"Acacia stenophylla","A.Cunn. ex Benth.",FALSE,1,1,1,0,0,0,1,0,0,0,4
181,"Acacia stipuligera","F.Muell.",FALSE,0,1,0,0,1,0,0,0,0,0,2
182,"Acacia tenuissima","F.Muell.",FALSE,0,1,0,0,1,0,0,0,0,0,2
183,"Acacia terminalis","(Salisb.) J.F.Macbr.",FALSE,0,0,0,0,1,1,0,1,0,0,3
184,"Acacia tetragonophylla","F.Muell.",FALSE,0,0,0,0,0,0,0,1,0,0,1
185,"Acacia tumida","F.Muell. ex Benth.",FALSE,1,1,1,0,0,0,0,0,0,0,3
